Nome,Aeroporto,Cartões aceitos,Comodidades,Completude,Descrição,Dias da semana,Falta,Foto de capa,Galeria,Horário,IATA,ID Supabase,Núm. fotos,País,Prioridade,Status curadoria,Tempo máx permanência,Terminal,Website,Última atualização banco
Air New Zealand Lounge AKL,"AKL · Auckland, Nova Zelândia",Star Alliance Gold,"Ar condicionado, Bar, Centro de negócios, Chuveiro, Comida, Vista, Wi-Fi",60,Embarque internacional,,"3+ fotos, 5+ fotos, dias da semana, tempo máx",https://upload.wikimedia.org/wikipedia/commons/c/c8/Auckland_International_Airport_2017_aerial.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Auckland_International_Airport_2017_aerial.png,05:00-23:00,AKL,1827500b-e04e-4bd5-a471-7e3055217025,1,Nova Zelândia,Baixa,Pendente,,International Terminal,,22 de maio de 2026
Sala VIP Avianca,"BOG · Bogotá, Colômbia",,,20,"Aeropuerto Internacional El Dorado (Terminal 1), Bogotá, Bogotá D.C.",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/e/e0/Aerial_view_of_SJU.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Aerial_view_of_SJU.jpg,,BOG,f2fcac6c-1643-4c48-9133-33b0279e24b7,1,Colômbia,Alta,Pendente,,,http://www.avianca.com/,26 de maio de 2026
Star Alliance First Class Lounge,"CDG · Paris, França",,,20,"Terminal 2E - Hall M (CDG Airport), Paris",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/1/1e/N957JB_JFK_Landing_4R_B6_A321_231_Knock_Knock_Blue%27s_There%21_Small.png,https://upload.wikimedia.org/wikipedia/commons/1/1e/N957JB_JFK_Landing_4R_B6_A321_231_Knock_Knock_Blue%27s_There%21_Small.png,,CDG,f862e0c1-e4e2-490c-8ea1-09efffa65450,1,França,Alta,Pendente,,,,26 de maio de 2026
Sala Vip American Airlines,"BOG · Bogotá, Colômbia",,,20,"Aeropuerto El Dorado, Bogotá D.C.",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/e/e0/Aerial_view_of_SJU.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Aerial_view_of_SJU.jpg,,BOG,803994d0-97b5-4f2e-bb8f-098fc7381030,1,Colômbia,Alta,Pendente,,,,26 de maio de 2026
Sala VIP LATAM,"BOG · Bogotá, Colômbia",,,20,"Aeropuerto Internacional El Dorado, Bogotá, Bogotá D.C.",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/0/06/Aerial_View_of_Mexico_City_Airport_on_3.21.11_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/Aerial_View_of_Mexico_City_Airport_on_3.21.11_%28cropped%29.jpg,,BOG,852a387d-e7d0-4554-ab67-f69bc50b0bee,1,Colômbia,Alta,Pendente,,,,26 de maio de 2026
LATAM First Class Lounge,"GIG · Rio de Janeiro, Brasil",,,20,"Terminal 2 (Aeroporto do Galeão), Rio de Janeiro, RJ, 21941-900",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/1/19/JA02WJ_JFK_Landing_22L_JL_A350_1041_Small_%2853548157200%29.png,https://upload.wikimedia.org/wikipedia/commons/1/19/JA02WJ_JFK_Landing_22L_JL_A350_1041_Small_%2853548157200%29.png,,GIG,3967ea61-a2ee-4495-a180-ec18dcaa63e5,1,Brasil,Alta,Pendente,,,https://www.latam.com,26 de maio de 2026
Lufthansa Business Lounge A26,"FRA · Frankfurt, Alemanha",,,10,"Terminal 1, near Gate A26 (FRA Airport), 60547 Frankfurt am Main",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/4/45/Berlin_Brandenburg_Airport_Terminal_1.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Berlin_Brandenburg_Airport_Terminal_1.jpg,,FRA,7361fc98-e8c2-4c3e-9143-4434c2a61008,0,Alemanha,Alta,Pendente,,,http://www.lufthansa.com/de/en/lounges,26 de maio de 2026
Sala VIP Diamond,"BOG · Bogotá, Colômbia",,,10,"Aeropuerto BOG (Terminal Internacional), Bogotá, Bogotá D.C.",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,BOG,80a370ed-5643-4a62-9a3a-ea3a7c44ac9c,0,Colômbia,Alta,Pendente,,,http://www.avianca.com/,26 de maio de 2026
Etihad Lounge,"CDG · Paris, França",,,20,"Terminal 2E - Hall L (CDG Airport), Paris",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/en/f/f7/210720_NQZ_Terminal_view.jpg,https://upload.wikimedia.org/wikipedia/en/f/f7/210720_NQZ_Terminal_view.jpg,,CDG,baa60fc0-1462-4767-bea9-fcc5967789a8,1,França,Alta,Pendente,,,,26 de maio de 2026
Visa Lounge,"EZE · Buenos Aires, Argentina",,,20,"B1802 Ezeiza, Buenos Aires",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/9/92/Washington_Dulles_International_Airport_at_Dusk.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Washington_Dulles_International_Airport_at_Dusk.jpg,,EZE,eb41acd3-c2cd-4cf2-a852-a9a2a90fdb8f,1,Argentina,Alta,Pendente,,,,26 de maio de 2026
